12,0,89,2,4,6,0,74,1,8,131,1,2455,3,43,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102,100,2089,135,87,0,0,0
2,0,31,1,3,2,0,18,2,2,14,1,965,2,24,0,1,1,1,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,2027,31,21,0,0,0
6,0,18,2,8,2,0,74,2,6,58,1,539,4,89,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,68,236,284,190,0,0,0
12,0,110,1,5,6,0,18,2,8,131,1,2859,2,54,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,17,604,35,19,0,0,0
2,0,74,2,6,2,0,18,2,8,14,1,2047,4,67,1,1,1,1,1,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,73,100,1689,187.9,122,0,0,0
2,0,93,1,1,6,0,18,2,6,18,1,2605,2,6,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,100,2027,133,97,0,0,0
2,0,18,2,8,2,0,18,1,11,14,1,484,3,94,1,1,1,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,14,444,25,11,0,0,0
6,0,18,2,8,3,0,89,2,4,59,1,554,4,87,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,435,192,118,0,0,0
12,0,88,1,3,6,0,18,2,8,131,1,2364,2,30,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,2027,198,141,0,0,0
2,0,10,2,8,6,0,89,1,5,18,1,263,3,88,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,23,1112,81,47,0,0,0
12,0,93,2,6,2,0,74,2,6,127,1,2644,4,65,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,68,1346,0,0,1,1,0
7,0,26,2,8,6,0,112,2,5,75,1,865,4,88,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,100,99,2026,178,116,0,0,0
2,0,50,2,4,2,0,50,2,4,14,1,1436,4,39,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,100,2027,6,6,0,0,0
